adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,292631,tt3626760,es,Negociador,"Manu Aranguren is a Basque politician who acts as a mediator for the Spanish government in its negotiations with ETA. Far from being a solemn, calculated occasion, unexpected occurrences, slip-ups or misunderstandings soon kick in to influence the dialogue. And the personal relationship between negotiators will be key in solving the conflict.",0.57353,/A0YH7TPSRgba3DqxCzGcVIRFCaw.jpg,"[{'name': 'Sayaka Producciones Audiovisuales', 'id': 7344}, {'name': 'Canal+ España', 'id': 9335}, {'name': 'Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA)', 'id': 9974}, {'name': 'Euskal Irrati Telebisa (EITB)', 'id': 31123}, {'name': 'Departamento de Cultura del Gobierno Vasco', 'id': 32718}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2014-09-22,0.0,80.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Negociador,False,6.6,7.0
False,,0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",http://store.veggietales.com/tomato-sawyer-huckleberry-larry-s-big-river-rescue-veggietales-dvd.html,273205,tt1321845,en,VeggieTales: Tomato Sawyer & Huckleberry Larry's Big River Rescue,"Huckleberry Larry wants to help his new friend, Big Jim, a huge yellow gourd on the lam. Tomato Sawyer doesn't want to get involved, which strains his friendship with Larry.",0.081523,/3akgrHDe5eJjpZpjOZglBzPf11n.jpg,"[{'name': 'Big Idea Entertainment', 'id': 15419}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-03-06,0.0,49.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Lesson in Helping Others,VeggieTales: Tomato Sawyer & Huckleberry Larry's Big River Rescue,True,1.0,1.0
False,"{'id': 286023, 'name': 'Sharknado Collection', 'poster_path': '/l525ueVZgelZoCSMgPZKKOEJMEC.jpg', 'backdrop_path': '/iJ7pFCD0xNUHkbSoTY60CDGfRjQ.jpg'}",0,"[{'id': 10770, 'name': 'TV Movie'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.theasylum.cc/product.php?id=272,331446,tt3899796,en,Sharknado 3: Oh Hell No!,"The sharks take bite out of the East Coast when the sharknado hits Washington, D.C. and Orlando, Florida.",4.354938,/hEpMnXqC7bIklSrUN1qPGyKxRBJ.jpg,"[{'name': 'The Asylum', 'id': 1311}, {'name': 'Syfy', 'id': 6677}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-07-22,0.0,88.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Sharknado 3: Oh Hell No!,False,4.4,137.0
False,"{'id': 325470, 'name': 'The Lego Movie Collection', 'poster_path': '/hsBJxdgF1BK1M98dWAaikvTlym7.jpg', 'backdrop_path': '/sQNiamRBTh2aTjQ8aYCJ69MngTM.jpg'}",80000000,"[{'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",http://www.legobatman.com,324849,tt4116284,en,The Lego Batman Movie,"In the irreverent spirit of fun that made “The Lego Movie” a worldwide phenomenon, the self-described leading man of that ensemble—Lego Batman—stars in his own big-screen adventure. But there are big changes brewing in Gotham, and if he wants to save the city from The Joker’s hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",17.070748,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,"[{'name': 'Lin Pictures', 'id': 2723}, {'name': 'Warner Bros. Animation', 'id': 2785}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Animal Logic', 'id': 8089}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Lord Miller', 'id': 77973}, {'name': 'LEGO System A/S', 'id': 85983}]","[{'iso_3166_1': 'DK', 'name': 'Denmark'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-02-08,311950384.0,104.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Always be yourself. Unless you can be Batman.,The Lego Batman Movie,False,7.2,1473.0
False,"{'id': 9521, 'name': ""Look Who's Talking Collection"", 'poster_path': '/ez7hA34uLtOuGIwZvwhlpr53tXh.jpg', 'backdrop_path': '/2jEwMXBICqARNmhFFFDu1IvmJCK.jpg'}",0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",,9356,tt0100050,en,Look Who's Talking Too,"Mollie and James are together and raising a family, which now consists of an older Mikey and his baby sister, Julie. Tension between the siblings arises, and as well with Mollie and James when Mollie's brother Stuart moves in. Mikey is also learning how to use the toilet for the first time.",6.42968,/7HtSFUYBPOUd9ylUXU0LyPsxpRm.jpg,"[{'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-12-14,0.0,81.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Mikey’s back and about to face his greatest challenge… his new sister.,Look Who's Talking Too,False,5.0,317.0
False,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.zeroone.de/zero/index.php?id=267,65188,tt0406929,en,Leben nach Microsoft,"Der Film portraitiert eine Gruppe von Microsoft-Aussteigern: im Ruhestand mit 32, Multimillionäre und ohne die geringste Idee, was sie mit dem Rest ihres Leben anstellen sollen. Ihre Jahre im Unternehmen, der Hype des Goldrausches und das Adrenalin des Erfolges hat sie ausgebrannt und doch sind sie entschlossen mehr aus ihrem Leben zu machen - vor allem Sinn und Bedeutung in der wirklichen Welt zu finden.",0.107603,/hmramms24guJz1rtuWL4LDTcjDk.jpg,"[{'name': 'Arte', 'id': 201}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2001-11-06,0.0,72.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Das Leben nach dem Goldrausch,Leben nach Microsoft,False,4.8,2.0
False,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",,38267,tt0059895,en,War-Gods of the Deep,The plot concerns the discovery of a lost city beneath the sea off the coast of Cornwall. Price is the captain overseeing a group of sailors who have lived there for more than a century where the peculiar mix of gases has allowed them to extend their lifespan.,1.363235,/9eX3azITebw0Ky8mYbvGCMSDgo3.jpg,"[{'name': 'Bruton Film Productions', 'id': 5694}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1965-05-26,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They dared the most fantastic journey that has ever challenged imagination!,War-Gods of the Deep,False,4.8,16.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,42621,tt0065215,en,Winning,"Frank Capua is a rising star on the race circuit who dreams of winning the big one - the Indianapolis 500. But to get there he runs the risk of losing his wife Elora to his rival, Luther Erding, and strains the relationship with his stepson.",1.966696,/yoatYlRPvkavUMavgx5xHtwvqq0.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1969-05-22,0.0,123.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Winning is... everything.,Winning,False,5.3,8.0
False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",http://www.topptwins.co.nz/,60063,tt1338687,en,The Topp Twins: Untouchable Girls,"Fun, disarming and musically provocative, the Topp Twins are New Zealand's finest lesbian country and western singers and the country's greatest export since rack of lamb and the Lord of the Rings movie trilogy.",0.12663,/avwTbtT0dfE2iyg3ATQWX7HPIIi.jpg,[],[],2009-09-13,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A profile of the world's only comedic, singing, dancing, lesbian twin sisters.",The Topp Twins: Untouchable Girls,False,7.0,2.0
False,,35000000,"[{'id': 10752, 'name': 'War'}, {'id': 35, 'name': 'Comedy'}]",http://www.whiskeytangofoxtrotthemovie.com/,279641,tt3553442,en,Whiskey Tango Foxtrot,"In 2002, cable news producer Kim Barker (Tina Fey) decides to shake up her routine by taking a daring new assignment in Kabul, Afghanistan. Dislodged from her comfortable American lifestyle, Barker finds herself in the middle of an out-of-control war zone. Luckily, she meets Tanya Vanderpoel (Margot Robbie), a fellow journalist who takes the shellshocked reporter under her wing. Amid the militants, warlords and nighttime partying, Barker discovers the key to becoming a successful correspondent.",8.155604,/96vLovyljHFXIZIF0Ffar5qcldV.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Broadway Video', 'id': 1756}, {'name': 'Little Stranger', 'id': 26402}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-03-04,23083334.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,From the headlines to the front lines,Whiskey Tango Foxtrot,False,6.0,356.0
